address,balance,
bcna12pmugtt4pzxz2nqdm236ea8gd8pleglplwgqy2,23000000000,
bcna1pwes9mtwa6hr9kf79gqjtp2e4tv2dced28cjd9,22905983671,
bcna1jf5n7q469a9wg6v0yjqdv6eughjhwarsxpy2vq,22696967834,
bcna1h7l8uphvju7dpfu93seeqt0m7e6n8jf39tqmp2,22286000000,
bcna1yqvxyhzqd4e6mg6hhd0x08jr5yg6mdzjywh3mc,22001350635,
bcna1sjpa2xgux2zdlgnqamy40ue3wx4y9qjyn2c5uq,21808900000,
bcna1n4etws28ydaj2yrc4el8m35vx7sz7dv506lzps,21731900000,
bcna1n93224vflsmu8q0kuf8hyw4qzvg4j3zxhrg70y,21578676486,
bcna1chqpgxptu03y2c59sttsaxg8vpptey42yexldw,21455000000,
bcna12gqn8dlht8st89aq4rg03c5nevwnq650uvrj6z,21000000000,
bcna1c8ugacy98lccx5p8zryfmrxypvesqkr97r5pwa,20218000000,
bcna1smrlapzwyv23cvna6s7jkwnenvcvcwncgpsmd6,20100000329,
bcna1vgqgdk7lyqz4qzt7lmfmm4eacf44uvt73sq5x3,20079000000,
bcna120xmqjzse2ujs9xcfmqutjn692avpj7vfhjegq,20001000000,
bcna122zt392tg6hperkmsrj20hyg9duzdxhznj4m8a,20000000000,
bcna1c94c7gesj7jvtkm7ea8qceehe7g63hknq3tcgr,20000000000,
bcna1chlmc3um9qrs66g3afvcpwtexfnhdf3a6n8jks,19962386934,
bcna1chlmc3um9qrs66g3afvcpwtexfnhdf3a6n8jks,19962386934,
bcna1cr76dpqc522lm6hszv0ry4pwapwqnnvc9cgdy9,19903748283,
bcna12z762kemv8un7qv33mjk4pg5n67trk5ldfvvr8,19774021798,
bcna1s9nfqm0qh99g09q2d90cq4kk67qwa25qnvlje2,19325984099,
bcna1lp3tzc063u0xf2zyrp4sh3cvk5u8htlelaerdn,19143000000,
bcna1km88duvfjhq4cda36cf75kgfrv89k8mcxs6sdu,19000000119,
bcna1hgf3qdn6zpk0063hed9t36cwl9509r79e827fs,18945000001,
bcna1geczcfv0e2s249ghf2jd36kcshscuwhh9my2ug,18831852740,
bcna17af9dp9v6uq94mxvu75j84cyz4njs9z5tvza6g,18753708933,
bcna13aluyh72snykxxr6pm20y264xsaed4dtywpgz2,18464000000,
bcna1xqqgg8nvzft53kvf6vvwj650euxey0rlt7wqzp,18431000000,
bcna1awtjz8ednslkm9dr2ajhw4gtus5ygsf3ry58e6,17756000000,
bcna1kgkkx7vjs3k7dlfdrxp53wnhu32lgfzp7yslnr,17584729068,
bcna134hu9flzpnz53wcu0zqst8pqqtkn9tjzwev2pg,17499560000,
bcna1zwaqhvaxmwmj5h8hum37ukwp2rufun5zgtdq8z,17336180967,
bcna17h2x3j7u44qkrq0sk8ul0r2qr440rwgjfdvmvk,17262323866,
bcna10jm8fvdyqlj78w0j5nawc76wsn4pqmdxq7r9ul,17212185387,
bcna1hf68vnuueeh33g02u4e3yl0l74egatmmqazgr4,17000000000,
bcna17w6rv7v4sge2m2qslyyq3wzq3g44xjjtxpwr7c,16928000001,
bcna1wupm8er407z5f8rwwfr0knc7v79a35pvjvjcjr,16874200000,
bcna1akhswynqs07zj5p2k25r6s4ur45qyjnrtl72uh,16250377385,
bcna1k0qqzhg9sp862dhhdyvyrxtlyyyszc25arzqtk,16100000000,
bcna14cxe67f4a0l5amap983ahllaf950tzpk368pqx,16083797000,
bcna19th4mpzlkajy9gtw2uq26u7hlvsyh7rxfpmv7u,16000000000,
bcna1y5u28r8f0q7kzcaqyqp9v73rkcwpy96cxrld5q,15830000000,
bcna1yjgrtsuypuwta5qwtdz894rng688cs9lm5r529,15826765777,
bcna1hw8ln9564daxdegkm67qy9sp0luv38dwf5vgd9,15624462545,
bcna1wfu7w3d7u2lgphr2dsnrnrxzhm56w00sd05glt,15270000000,
bcna15hx58qu3jpups0dhwcfy9w06d3h7pfe45j2dv6,15045000000,
bcna10rx7jwq60sn5zqda280k6lp5rx6n6kcg04k22e,15000000000,
bcna1dpyvpt2udwrh49556nvljn97vdktygezj9mxn7,14821968713,
bcna1vekt9nf2deaxvacsgeu3swvk4zj9xwfdqlvw7h,14783600000,
bcna1cay7jjlqz2au2kqh2qlgw0kywes6m4y95m3tzj,14609765455,
bcna1gemjs2khq8y6l0v29vv0mkalqt4dvge6ucs48n,14437072501,
bcna1q49qc20cp36zp8qk0xxj6w0d039c3fe43v3rtk,14355905483,
bcna1jxv0u20scum4trha72c7ltfgfqef6nscg6ywua,14300000000,
bcna1ex2m0j9gc7l49lr5qgrhnp7vy83adq0kgpr8mz,13941500000,
bcna1x7744zhq30ar4gsttje932g57mzvmuu4672v2g,13826600000,
bcna1lyh6lpuamrgs8e4hzyunsgx7l77vpc7uwedykz,13680000000,
bcna1a8tzx7kl4scp6hkd860fwj4n5p28y2pyqlswlz,13557241277,
bcna1gewtc4qmn9u3mmt6dskrsjf7s3p5x2nut5ea7z,13500000000,
bcna18ffd453rr429f52ygj6cdrq8r6qxtyn80zvwmx,13330000000,
bcna1dl7k5tfzd54zcd5xv5vkclap3zqmn6g0757fzg,13292048237,
bcna1unezmh9vpyg7ymuq50v0nfd69a3vf6j5syw73x,13210469427,
bcna1yvxyfq2jhm43yj8wgfsheal4exgymeq5lrdqqn,13146144772,
bcna1gflv8l5u0p7knx67xzrcevuhfyk62h5sa25llk,13140000000,
bcna1merrhlexye75vd6rxc9k0544dljwe5qz8vzmd0,13031000000,
bcna1dt7t4tprclxkqgvvul9svf6zql9ch072aun6p3,13001000000,
bcna1qrkf92wtv4hyw8uawxv933kq5hyks668hna4qr,12925644889,
bcna1qrkf92wtv4hyw8uawxv933kq5hyks668hna4qr,12925644889,
bcna1krzm0eezsjxgr4jjy89vdtq2d0tsq59ga8keqt,12845371776,
bcna1ul87zzqualluu8xnqqg2h6qdx4q23d5v7qyva3,12773611806,
bcna1rh8s9ymh0navq8wjp2m0qxmktl4rnnv4z0vk4q,12709000000,
bcna1cujhq72xqa5t5pvz3zjn0rfqmdl2sl0hlytzxr,12662000000,
bcna1lc8smvt25yjat5nhgauys79pfmkvwc0m78g84a,12655119258,
bcna1ytem9skzmq7n7tlfcqjw6wqfgd587cn3ppg5vt,12593755102,
bcna18uempxcg7e8xr0un2zc3x3add2zdr0vw5dxhdv,12547000000,
bcna13xus6jynf067mc2req6z4gg7yupkxkfxemmyuj,12520000000,
bcna1j92fy5uun0tf4nawyglpvqa8lnk0ctfna2au5x,12358000167,
bcna1j92fy5uun0tf4nawyglpvqa8lnk0ctfna2au5x,12358000167,
bcna19cqgl632n54hk8flkpaxnjd0ya7fnr4950dk7j,12318500000,
bcna19yte8l2wwf3cpnj8rle084nxs8n2uzs2nnlzjz,12285776289,
bcna1uqw0fkqza3knw5wztempjjgwfmvczq9wx84fx8,12168000001,
bcna1uqw0fkqza3knw5wztempjjgwfmvczq9wx84fx8,12168000001,
bcna1tdkyeuzeqlmaf9tglsjk7at2felq9jft789ltm,12100000000,
bcna1603mnk65ny0a6m3fs59s0qmpupm9g93vzmqu58,12047000000,
bcna19xk0mge8cp0vz2qx0wclfeuww42jq55nay2kwd,11885872563,
bcna10j4ycg02f3z04gp8qynwx3pvr3sje48nc8dzh0,11719471779,
bcna1xwazl8ftks4gn00y5x3c47auquc62ssulmkmwz,11566366592,
bcna1jzxy3362lff7apmuxmzhyzl63k9xxplcqhueu5,11501000000,
bcna1nffxrer06tgkzlhzdxtz7efrqf0ykufrm49gfh,11431025125,
bcna1ruu3rrlvst68hsjqp9n2usm0m2hcustzlzd5kl,11424501205,
bcna10kgjnt0t8lyq74aavd52x7wwr9xd8zzd02vjwp,11415742964,
bcna1nhugp28x5d2rxjgwfhem3sxmkcmf9kwg8l45ue,11350823946,
bcna1j0wqqw8fwgw6wn3ex5hjge0xhz984k55vanxxv,11314852199,
bcna120z6gnpd49q0rah37r2ejw8rpz48xvsuwe49u4,11284000000,
bcna1dxhgtlwl8hk9mqj83n4z8zc0u7zu0z80svwvnd,11166854911,
bcna1rthkdtazq3q5fmcyzc5dqavfmumzkqv4e0l42u,11155150753,
bcna1rthkdtazq3q5fmcyzc5dqavfmumzkqv4e0l42u,11155150753,
bcna1xs5wpplzzr6sxhdzytjj0jrxyv7km08nh02qum,11139295550,
bcna1gx5cx6prh66wkqtpmssd84q5dmvuw8cvlsxed5,11135969371,
bcna1xauyjup5vwja4n7lxdz52vy38lmr8j7z6eunrx,11108900000,
bcna1397sqpewyrlzzl0v4l9525d7u7dps86mr753g6,11066500000,
bcna1hqhqn4q058fndsw7nnd4kll08uex08lr62psdy,11016952073,
bcna1226q9glnrx4vvkk68050l82dazcpk4uvwcc7sa,10924707036,
bcna1v6ymt347732d3hmyaykdpeq8e9srhg7392hdmy,10875700000,
bcna1v6ymt347732d3hmyaykdpeq8e9srhg7392hdmy,10875700000,
bcna1n4a7szqm4gu0xegntwy245fjq8tlfh4v0d4n6e,10776499999,
bcna1v97agk4gkyytpphhymqxhh3aqvvra3vvhavll9,10678685415,
bcna1dns4mayw5cq5anr36w2s78nmgf0fcexegcqkve,10672900000,
bcna1vugz70jylh9e7awawjl5jf8cfe5yqamnyt4ymx,10638000000,
bcna1xrzk0rhn5nq4nlmvcps8n83360ezj0t9dhwx0a,10565000000,
bcna1mxtepzwtdtvq3agfzwk960g5ypkfex349n9rap,10555232249,
bcna1fysj4cadldlzcpjkfm2apdxex48wlvrgxt0xre,10510000000,
bcna1w7ss42yhl56qq0lf72cwxqhcp2vjjlcy684alm,10485083503,
bcna12sw6h4m35q2wulf9u4r794lplsclcrjl54ellp,10421441809,
bcna12sw6h4m35q2wulf9u4r794lplsclcrjl54ellp,10421441809,
bcna1jvm8gy4lgzcrsagxpyhvvxymz982y3j5f20xnq,10378190617,
bcna1nky0x8xuyp8xfm0rp8uqj6274yfrzxrgw6pw9r,10285000000,
bcna1rv62alwx580v7rdasxvz3xkepzy6wnfavnx5uk,10274500000,
bcna1hhhv7fklrt0g39fl5qm0ll680px0gwjvc4s6rr,10270000000,
bcna18g52axpmmv8ksz4jl4p7t938pvutafr96w4zh3,10227000000,
bcna1vxurf7gcsrn6unggcez7agvdnjyvpxq7tvq2cs,10221000000,
bcna1uh7xs26ty03d3ly7s3ytvwsxa9qeym05wrzxq7,10215493177,
